Chinese,meaning
你好,こんにちは
你们好,みなさんこんにちは
老师好,先生こんにちは
您早,おはようございます
再见,さようなら
明天见,また明日
谢谢,ありがとう
不客气,どういたしまして
对不起,すみません
没关系,きにしないで
请坐,どうぞお座りください
打搅您了,お邪魔しました
哪里,とんでもないです
请多关照,どうぞよろしく
你,あなた
是,～です
中国人,中国人
吗,～か？
我,私
不,～でない
日本人,日本人
他,彼
也,～も
老师,先生
学生,学生
留学生,留学生
中国,中国
你们,あなたたち
都,～もみな
北京大学,北京大学
我们,わたしたち
他们,彼ら
她,彼女
大学生,大学生
日本,日本
大学,大学
书,本
她们,彼女ら
朋友,仲間
妈妈,おかあさん
汉语,中国語
课本,教科書
英语,英語
词典,辞典
韩国,韓国
新加坡,シンガポール
美国,アメリカ
英国,イギリス
法国,フランス
职员,職員
售货员,店員
医生,医者
护士,看護師
清华大学,精華大学
南京大学,南京大学
台湾大学,台湾大学
复旦大学,復旦大学
四川大学,四川大学
日语,日本語
韩语,韓国語
法语,フランス語
德语,ドイツ語
高中生,高校生
初中生,中学生
您,あなたさま
贵姓,お名前
姓,~という姓である
王,王
田中,田中
喝,飲む
咖啡,コーヒー
这人,ここ
很,とても
好喝,(飲んで)おいしい
好,はい
啊,(感嘆)よ
吧,～しましょう、~でしょう
买,買う
和,~と
点心,お菓子
呢,～は？
面包,パン
好吃,(食べて)おいしい
这,これ
那,あれ、それ
这个,この
那个,あの
中田,中田
忙,忙しい
那人,あそこ
非常,非常に
吃,食べる
红茶,紅茶
乌龙茶,ウーロン茶
绿茶,緑茶
牛奶,牛乳
啤酒,ビール
饭,ご飯
汉堡,ハンバーガー
三明治,サンドイッチ
蛋糕,ケーキ
巧克力,チョコレート
困,眠い
饿,空腹である
累,疲れる
热,熱い
冷,寒い
高兴,うれしい
贵,(値段が)高い
便宜,安い
甜,甘い
好看,キレイだ
漂亮,美しい
赵,趙
张,張
李,李
劉,劉
今年,今年
多大,いくつ
岁,～歳
生日,誕生日
几,いくつ
月,～月
号,～日
年级,～年生
今天,今日
星期几,何曜日
星期一,月曜日
有,ある、いる
节,～コマ
课,授業
两,２つの
上课,授業が始まる
个,～個
杯,～杯
台,～台
电脑,パソコン
本,～冊
学校,学校
放假,休みになる
晚上,夜
睡觉,眠る
什么时候,いつ
去,行く
星期天,日曜日
星期三,水曜日
妹妹,妹
兄弟姐妹,兄弟姉妹
独生子,一人っ子
星期四,木曜日
年纪,年齢
岁数,年齢
电话,電話
号码,番号
多少,どれくらい
谁,誰
什么,何
爸爸,父
学习,勉強する
写,書く
作业,宿題
打,する
游戏,ゲーム
打工,アルバイトをする
散步,散歩する
起床,起きる
早饭,朝ごはん
上学,登校する
放学,授業が終わる
晚饭,夕食
哥哥,兄
姐姐,姉
弟弟,弟
社团活动,サークル活動
明天,明日
在,いる、ある
家,家
便利店,コンビニ
东京,東京
多,多い
特别,特に
怎么,どのように
坐,座る
电车,電車
教,教える
怎么样,どうですか
难,むずかしい
有点人,少し
不过,でも
有意思,おもしろい
教室,教室
哪人,どこ
图书馆,図書館
后边人,うしろ
前边人,前
家,～軒
书店,本屋
桌子,机
上,～の上
里边人,中
书包,鞄
里,～の中
天气,天気
好,いい
发音,発音
来,来る
骑,乗る
自行车,自転車
地铁,地下鉄
给,与える
告诉,告げる
件,～着(服を数える)
事,用事
下午,午後
食堂,食堂
咖啡厅,カフェ
商店,店
商场,商業施設
报纸,新聞
钱包,財布
铅笔,鉛筆
笔盒,筆箱
橡皮,消しゴム
圆珠笔,ボールペン
旁边人,そば
左边人,左
右边人,右
冬天,冬
夏天,夏
春天,春
暖和,温かい
秋天,秋
凉快,涼しい
回,帰る
公交车,バス
新干线,新幹線
飞机,飛行機
船,船
做,する
旅游,旅行する
盒饭,お弁当
饭团,おにぎり
方便面,インスタントラーメン
衣服,服
钱,金
日元,日本円
折合,換算する
人民币,人民元
块,元
真,本当に
想,～したい
那,それなら
跟,～と
一起,一緒に
离,～から、～まで
远,遠い
不太,あまり～ではない
从到,～から～まで
要,要する
分钟,分間
左右,～ぐらい
喜欢,好きである
日本料理,日本料理
寿司,寿司
太了,とても～だ
在,～で
附近,近所
毛,角
零,零
分,分
打算,するつもり
每天,毎日
小时,時間
多长时间,どれくらいの時間
年,年間
衬衫,シャツ
裤子,ズボン
裙子,スカート
鞋,靴
手机,スマホ
美元,アメリカドル
欧元,ユーロ
韩元,ウォン
麻婆豆腐,麻婆豆腐
中国菜,中華料理
火锅,火鍋
炒饭,チャーハン
北京烤鸭,北京ダック
饺子,餃子
面条,麺
青椒肉丝,チンジャオロース
拉面,ラーメン
生鱼片,刺身
差不多,だいたい
车站,駅
近,近い
厕所,トイレ
洗手间,お手洗い
公园,公園
超市,スーパー
邮局,郵便局
饭店,ホテル、レストラン
看,見る
电影,映画
同学,クラスメート
住,住む
